year,query,total_citations,avg_h_index,usage,captures,mentions,social_media,impact,first_year_citations,second_year_citations,max_h_index,flesch_reading_ease,flesch_kincaid_grade,gunning_fog_index,smog_index,automated_readability_index,coleman_liau_index,cohesion,syntax,vocabulary,phraseology,grammar,conventions
2017,"distributed, parallel and cluster computing",423,24,0,928,0,0,high,1,26,34,29.79,15.2,13.16,16.6,17.7,15.61,6.852941,6.617647,7.5588236,7.470588,6.9117646,6.2941175
2022,"distributed, parallel and cluster computing",203,70,0,94,0,0,high,41,109,111,29.79,15.2,11.78,16.3,17.3,15.21,7.1842103,6.885965,7.754386,7.622807,7.1666665,6.622807
2019,information retrieval,578,32,0,656,0,0,high,2,39,44,43.93,11.8,10.91,13.4,13.4,13.11,6.285714,6.178571,7.142857,6.964286,6.392857,5.75
2022,computational complexity,10,32,0,5,1,0,low,0,10,59,42.82,12.2,10.25,14.8,14.7,13.81,6.178571,6.035714,6.946429,6.678571,6.214286,5.767857
2017,data structures and algorithms,1187,9,0,122,1,0,high,11,64,11,52.6,10.5,9.64,12.6,11.9,11.49,6.125,6.05,6.85,6.725,6.35,5.725
2019,software engineering,828,27,0,1233,1,0,high,0,63,47,31.92,14.3,11.56,16.0,16.3,15.26,7.359375,7.21875,7.96875,7.9375,7.53125,6.859375
2022,"distributed, parallel and cluster computing",1,36,0,6,1,0,low,0,0,36,33.24,13.8,10.55,15.5,16.2,14.74,5.967742,5.7580647,6.612903,6.467742,6.209677,5.629032
2017,cryptography and security,216,46,0,178,0,0,high,5,24,83,44.14,11.7,10.1,14.3,12.8,12.88,6.6578946,6.5263157,7.3157897,7.1578946,6.736842,6.105263
2019,graphics,794,25,0,302,0,0,high,3,76,52,58.69,8.2,7.36,10.9,10.5,12.28,5.75,5.6666665,6.5277777,6.3055553,6.0277777,5.4444447
2018,data structures and algorithms,1158,70,0,1008,0,0,high,24,154,145,38.32,11.9,9.95,13.3,12.7,13.86,6.625,6.375,7.2916665,7.0833335,6.5833335,6.2083335
2022,information retrieval,0,8,0,2,0,0,low,0,0,16,39.37,13.6,13.0,15.2,16.4,14.74,6.4375,6.25,7.25,7.0,6.5625,6.0625
2017,graphics,740,60,0,944,1,0,high,29,93,114,44.34,11.6,10.42,13.4,12.5,12.47,6.9444447,6.6666665,7.638889,7.4722223,7.0833335,6.5
2017,software engineering,1087,29,0,938,0,0,high,6,56,42,33.75,13.6,11.21,14.8,15.2,14.79,6.821429,6.642857,7.5,7.285714,7.0,6.357143
2019,graphics,660,55,0,582,0,0,high,0,63,133,43.83,11.8,10.06,13.5,12.7,12.65,7.0,6.769231,7.6538463,7.5384617,7.1153846,6.3461537
2017,computer vision and pattern recognition,1829,69,0,722,0,0,high,3,96,90,54.42,9.8,8.91,12.5,11.3,11.25,6.3846154,6.3076925,7.1923075,6.923077,6.4615383,5.8461537
2019,data structures and algorithms,975,71,0,2316,9,39,high,0,43,103,42.48,10.3,7.76,12.3,11.1,12.8,5.3541665,5.3333335,6.1666665,5.9583335,5.7291665,5.1041665
2018,computer vision and pattern recognition,1827,21,0,843,0,0,high,14,167,40,55.84,9.3,8.45,11.6,11.2,12.29,6.375,6.1875,7.0,6.875,6.53125,5.9375
2019,graphics,635,30,0,480,0,0,high,2,73,50,53.92,10.0,9.17,13.0,11.9,12.24,6.111111,6.0555553,6.9166665,6.611111,6.2222223,5.8055553
2020,data structures and algorithms,968,73,0,560,0,0,high,52,143,95,48.91,9.9,7.69,11.8,10.9,12.46,6.9347825,6.5869565,7.521739,7.3913045,7.021739,6.5
2017,machine learning,20944,84,0,24231,6,0,high,128,857,160,56.05,9.2,8.59,12.1,10.2,10.95,6.6153846,6.423077,7.1923075,7.1538463,6.769231,6.0
2018,machine learning,19657,10,0,2463,5,0,high,32,783,14,45.46,11.2,10.27,13.7,12.8,13.16,6.8461537,6.6538463,7.5384617,7.423077,7.0,6.4615383
2017,machine learning,18413,103,0,31303,31,3,high,24,278,181,51.38,11.0,11.2,13.0,13.1,12.65,7.2083335,7.0833335,7.875,7.7916665,7.25,6.75
2017,machine learning,16925,54,0,5065,0,0,high,4,479,68,57.27,8.8,8.23,11.4,10.3,11.59,6.2058825,6.147059,6.9411764,6.7647057,6.470588,5.7352943
2017,machine learning,16200,62,0,3430,2,0,high,15,237,83,56.96,8.9,8.02,11.4,10.3,11.3,6.263158,6.105263,7.0,6.868421,6.368421,5.763158
2021,computer vision and pattern recognition,1740,57,0,1364,0,0,high,8,366,156,46.47,10.8,8.85,12.6,12.9,13.4,6.633333,6.4666667,7.3333335,7.233333,6.733333,6.1
2021,graphics,618,47,0,414,0,0,high,4,147,126,50.73,9.2,6.62,11.8,10.3,12.4,6.2826085,6.152174,6.9347825,6.7608695,6.326087,5.804348
2018,machine learning,14853,28,0,8119,4,0,high,18,541,31,45.86,11.1,9.63,13.4,12.8,13.45,5.9444447,5.75,6.7222223,6.5,6.0277777,5.5277777
2018,machine learning,13303,40,0,8808,0,0,high,303,1333,50,44.75,11.5,9.88,13.7,13.8,14.03,6.65,6.475,7.425,7.2,6.75,6.175
2022,internet of things and embedded systems,17,33,0,2,0,0,low,2,9,63,41.09,12.9,10.73,14.2,15.1,13.58,6.0789475,5.894737,6.736842,6.5,6.1578946,5.631579
2020,graphics,587,12,0,804,0,0,high,18,119,14,49.62,9.6,8.02,11.9,11.1,13.09,5.736842,5.5789475,6.5263157,6.236842,5.9210525,5.263158
2018,data structures and algorithms,854,79,0,205,0,0,high,51,92,127,39.77,13.4,11.8,15.8,16.0,14.28,6.6904764,6.3809524,7.2619047,7.142857,6.714286,6.0
2018,machine learning,12883,24,0,3835,0,0,high,1,144,40,39.43,11.5,8.95,13.0,12.5,13.85,6.9583335,6.7916665,7.5416665,7.375,7.0416665,6.5416665
2017,graphics,577,48,0,385,0,0,high,1,21,78,60.35,9.6,9.8,12.5,10.8,9.63,6.0,5.84375,6.65625,6.53125,6.15625,5.65625
2022,software engineering,2,21,0,3,0,0,low,1,0,24,49.25,11.8,11.68,14.1,14.3,12.59,6.2777777,6.111111,7.0555553,6.861111,6.3333335,5.5555553
2017,machine learning,12332,55,0,10283,0,0,high,11,351,105,48.2,10.2,8.67,11.7,10.5,11.48,5.9411764,5.8235292,6.7647057,6.5588236,6.2352943,5.5882354
2017,machine learning,11307,14,0,1471,5,0,high,1,79,14,37.6,12.2,9.51,13.4,13.3,13.92,6.263158,6.105263,7.0263157,6.8157897,6.4473686,5.7894735
2017,machine learning,9377,28,0,7483,1,0,high,2,119,28,34.26,13.5,10.82,15.6,14.9,14.68,6.8,6.7,7.55,7.4,7.1,6.35
2021,machine learning,9197,24,0,6163,0,0,high,14,1686,47,46.78,10.7,8.72,13.1,12.6,13.51,6.3,6.1666665,7.0,6.866667,6.4666667,5.7
2020,data structures and algorithms,821,25,0,669,0,23,high,19,110,31,53.0,10.4,9.26,13.2,12.0,11.48,6.866667,6.5833335,7.45,7.3,6.883333,6.4
2017,machine learning,6856,31,0,5331,1,0,high,29,267,35,36.08,12.7,10.66,14.0,13.3,13.52,6.4615383,6.3461537,7.3076925,7.0,6.5384617,5.8846154
2017,machine learning,8714,75,0,4284,0,0,high,15,298,151,50.12,9.4,7.69,11.4,10.9,12.34,5.617647,5.529412,6.382353,6.0588236,5.8235292,5.2647057
2017,machine learning,8641,66,0,6751,1,0,high,10,210,149,55.95,9.3,8.71,12.1,10.7,11.42,6.117647,5.970588,6.9117646,6.7647057,6.352941,5.8235292
2017,machine learning,8255,29,0,8438,7,66,high,37,417,54,45.66,11.1,9.16,13.6,13.1,13.57,6.4905663,6.3207545,7.311321,7.0660377,6.6226416,6.0849056
2018,machine learning,7990,80,0,5173,0,0,high,25,387,106,56.96,8.9,8.17,12.2,9.9,11.07,6.625,6.4375,7.25,7.125,6.71875,6.15625
2017,machine learning,7063,93,0,7256,6,0,high,106,452,163,45.96,11.0,9.62,13.1,12.4,13.11,6.3333335,6.3,7.133333,6.9333334,6.4333334,5.8
2022,software engineering,3,36,0,5,0,25,low,0,2,40,63.09,8.6,7.97,12.2,10.5,9.05,5.132653,5.0,5.8265305,5.6530614,5.3469386,4.6938777
2021,cryptography and security,213,28,0,273,0,0,high,18,62,52,44.03,11.8,11.04,14.3,14.3,14.62,7.1842103,7.0789475,7.868421,7.631579,7.3421054,6.7894735
2017,machine learning,6601,63,0,5420,0,0,high,8,228,83,48.2,10.2,8.94,12.5,10.5,11.53,6.818182,6.818182,7.409091,7.3636365,7.0454545,6.590909
2020,machine learning,6464,36,0,3977,0,0,high,61,946,68,49.01,9.9,8.43,12.3,10.7,12.11,6.3846154,6.1923075,7.076923,6.8846154,6.3846154,5.923077
2017,software engineering,602,43,0,269,0,0,high,2,50,108,49.86,11.6,10.2,13.8,12.1,10.21,6.230769,6.0576925,6.8653846,6.730769,6.326923,5.730769
2022,data structures and algorithms,9,35,0,24,0,0,low,3,4,43,31.21,14.6,11.73,15.8,16.1,14.74,7.240741,7.0925927,7.796296,7.740741,7.351852,6.759259
2020,machine learning,5551,18,0,12059,6,0,high,3,278,25,30.91,14.7,12.8,15.7,15.8,14.1,7.1944447,6.9444447,7.8055553,7.7222223,7.1666665,6.5277777
2022,computer vision and pattern recognition,2,3,0,13,1,0,low,0,1,4,31.62,14.5,12.43,16.0,17.9,16.89,5.9264708,5.8088236,6.720588,6.5147057,6.2058825,5.632353
2022,data structures and algorithms,0,49,0,1,0,0,low,0,0,68,50.36,11.4,10.19,13.1,13.0,11.84,6.631579,6.5263157,7.263158,7.2105265,6.736842,6.105263
2022,graphics,2,2,0,3,0,0,low,0,0,2,53.1,10.3,9.82,13.0,11.4,10.32,5.928571,5.875,6.642857,6.464286,6.107143,5.517857
2017,machine learning,5437,117,0,2530,0,0,high,7,167,196,54.52,9.8,9.32,12.8,12.0,12.58,6.34375,6.1875,7.09375,6.90625,6.4375,5.84375
2018,machine learning,5270,72,0,3845,0,0,high,11,289,160,38.72,11.7,8.74,12.8,13.1,14.44,6.625,6.4583335,7.25,7.25,6.8333335,6.125
2020,data structures and algorithms,907,24,0,547,0,0,high,41,148,29,51.68,10.9,9.54,13.5,12.2,11.02,5.9605265,5.868421,6.7236843,6.5,6.0526314,5.513158
2022,cryptography and security,4,7,0,48,1,0,low,1,1,9,43.43,12.0,10.61,13.9,13.7,13.63,7.3,7.0666666,7.8333335,7.7,7.1666665,6.733333
2018,machine learning,5252,46,0,2385,0,0,high,5,114,105,50.43,9.3,7.37,11.4,10.3,12.05,5.5526314,5.394737,6.2894735,6.0789475,5.7894735,5.0789475
2017,machine learning,5109,77,0,2321,0,0,high,12,209,101,51.38,11.0,9.86,13.5,12.3,11.43,6.9259257,6.759259,7.5,7.4814816,7.111111,6.462963
2019,machine learning,5091,47,0,2056,3,0,high,75,527,50,44.24,11.7,10.67,13.8,12.9,12.88,7.1923075,7.0384617,7.8846154,7.730769,7.230769,6.6923075
2022,data structures and algorithms,11,19,0,24,0,0,low,1,5,32,40.48,13.1,12.0,14.9,15.0,12.94,5.8333335,5.759259,6.703704,6.4814816,6.1296296,5.4814816
2022,data structures and algorithms,1,6,0,2,0,0,low,0,0,11,37.3,12.3,10.58,13.9,13.5,14.21,5.1666665,5.0416665,6.0833335,5.5833335,5.0416665,4.8333335
2019,machine learning,4880,23,0,3052,0,0,high,1,172,31,47.69,10.4,8.69,12.5,11.2,12.23,6.4,6.3333335,7.133333,7.0333333,6.6,5.9666667
2017,machine learning,4653,35,0,2316,9,25,high,9,101,35,41.8,12.6,10.88,14.4,14.2,13.0,5.9565215,5.7826085,6.630435,6.521739,5.9565215,5.369565
2017,machine learning,4546,63,312,2376,4,0,high,49,192,92,41.29,12.8,11.1,13.9,13.9,12.47,6.6842103,6.4736843,7.4473686,7.1842103,6.763158,6.131579
2017,machine learning,4413,14,0,1822,0,0,high,3,130,18,39.03,11.6,9.19,13.0,13.0,13.91,6.9545455,6.7727275,7.409091,7.318182,7.0454545,6.5
2019,machine learning,4387,25,0,2036,0,0,high,31,409,47,37.71,12.1,9.14,13.7,13.7,14.73,6.6666665,6.4583335,7.25,7.0416665,6.5833335,6.0416665
2022,data structures and algorithms,17,16,0,41,0,0,low,1,11,19,44.24,11.7,10.36,13.6,13.7,13.87,5.8333335,5.648148,6.703704,6.4444447,5.9814816,5.314815
2019,information retrieval,637,34,0,703,0,0,high,3,73,60,48.6,10.0,8.34,12.4,11.0,12.29,6.5333333,6.4,7.1666665,7.1,6.633333,6.0333333
2018,machine learning,1546,26,0,1956,0,5,high,4,115,40,44.64,11.5,9.6,14.1,13.1,13.11,6.75,6.4166665,7.2222223,7.0833335,6.6944447,6.2222223
2018,machine learning,4206,53,0,2181,0,0,high,3,165,86,48.09,10.2,8.27,13.0,10.9,11.82,6.5,6.3,7.133333,7.0666666,6.6,5.9333334
2017,machine learning,4182,21,0,4303,1,0,high,1,80,49,47.59,10.4,8.59,12.5,12.0,12.98,6.5,6.25,7.107143,6.964286,6.535714,5.928571
2017,machine learning,4124,19,0,5110,15,0,high,16,227,26,51.58,10.9,10.32,12.9,11.9,11.14,6.861111,6.6944447,7.5,7.3055553,7.0,6.4722223
2019,information retrieval,785,16,0,1067,0,0,high,6,100,16,57.47,8.7,7.7,11.6,10.0,11.36,5.84375,5.53125,6.40625,6.1875,5.8125,5.4375
2022,data structures and algorithms,42,15,0,119,0,0,low,3,25,28,57.06,8.8,8.24,11.5,9.5,10.78,6.138889,6.0555553,6.861111,6.6666665,6.25,5.6944447
2018,internet of things and embedded systems,289,15,0,340,2,0,high,1,17,23,19.6,17.0,14.12,17.5,18.4,15.55,5.0384617,4.8461537,6.1153846,5.730769,5.269231,4.3461537
2017,computer vision and pattern recognition,1076,39,0,796,0,0,high,0,31,48,54.32,9.9,9.03,11.9,10.6,10.55,6.03125,5.9375,6.8125,6.5,6.21875,5.6875
2017,machine learning,4107,21,0,3278,1,0,high,27,281,36,54.32,9.9,9.35,12.6,10.9,10.84,6.3461537,6.269231,7.1538463,7.0384617,6.6153846,5.9615383
2022,data structures and algorithms,34,43,0,25,0,0,low,2,21,50,46.27,10.9,8.57,13.6,12.4,12.99,6.06383,5.925532,6.8404255,6.6489363,6.2021275,5.606383
2017,cryptography and security,249,62,0,72,1,0,high,28,47,82,50.67,11.3,11.57,14.1,12.4,10.68,5.4444447,5.2777777,6.0555553,5.9444447,5.6666665,5.0555553
2017,internet of things and embedded systems,686,47,0,896,0,0,high,1,40,60,35.57,12.9,9.66,15.0,14.6,14.62,6.5945945,6.2702703,7.216216,6.9864864,6.472973,6.135135
2022,information retrieval,0,22,0,4,0,0,low,0,0,38,49.31,9.7,8.79,12.4,11.2,13.22,7.125,6.9583335,7.75,7.5833335,7.0833335,6.625
2022,information retrieval,14,23,0,2,0,0,low,0,12,35,40.89,13.0,10.48,14.6,14.0,11.95,6.6216216,6.5,7.2972975,7.1621623,6.756757,6.027027
2022,data structures and algorithms,0,7,0,2,0,0,low,0,0,7,44.64,11.5,10.43,13.6,13.5,13.05,5.76,5.66,6.58,6.34,5.96,5.46
2018,machine learning,3676,17,0,3446,2,0,high,62,245,26,44.95,11.4,9.39,13.4,12.7,12.82,6.418605,6.2093024,7.1976743,6.9651165,6.383721,5.7325583
2019,machine learning,3674,19,0,1587,0,0,high,73,441,33,48.6,10.0,8.38,12.3,12.0,13.45,5.9166665,5.8055553,6.6944447,6.5,6.0833335,5.4444447
2019,machine learning,3432,42,0,2661,0,0,high,22,316,75,48.3,10.1,8.64,12.0,10.8,11.77,6.1666665,6.111111,6.9444447,6.75,6.3333335,5.6944447
2017,machine learning,3897,18,0,3562,7,13,high,0,163,24,34.26,13.5,11.14,14.8,15.1,14.85,6.5731707,6.4634147,7.402439,7.256098,6.719512,5.97561
2020,internet of things and embedded systems,436,82,0,947,1,5,high,55,124,125,38.62,11.8,8.92,13.4,12.9,14.61,6.862069,6.62069,7.551724,7.327586,6.913793,6.275862
2020,machine learning,3886,10,0,6580,4,0,high,111,585,14,45.46,11.2,10.27,13.7,12.8,13.16,6.8461537,6.6538463,7.5384617,7.423077,7.0,6.4615383
2018,machine learning,3810,55,0,4270,0,0,high,18,268,69,36.08,12.7,9.71,14.0,13.9,14.27,6.8846154,6.730769,7.4615383,7.423077,6.923077,6.3461537
2020,machine learning,3786,51,0,8966,6,0,high,270,650,83,52.9,10.4,9.73,12.7,12.1,12.01,6.625,6.46875,7.28125,7.1875,6.71875,6.0
2020,machine learning,3762,23,0,5219,14,63,high,138,645,51,28.77,15.6,12.45,16.3,17.4,14.74,7.672131,7.4262295,8.278688,8.188524,7.6885247,7.196721
2020,machine learning,2909,25,0,2669,3,0,high,49,484,43,43.43,12.0,11.0,14.2,13.4,13.11,7.0,6.785714,7.535714,7.5,7.0,6.5
2019,machine learning,3091,57,0,2268,1,0,high,25,255,96,51.34,9.0,7.07,11.3,10.7,12.91,5.357143,5.3333335,6.2380953,5.928571,5.6666665,5.095238
2020,machine learning,3385,51,0,1273,0,0,high,24,266,100,47.99,10.2,8.35,12.9,11.7,12.75,6.5666666,6.3333335,7.133333,6.9333334,6.5,6.0
2019,machine learning,3365,18,0,2023,0,0,high,18,188,34,53.51,10.2,9.44,13.0,11.0,10.67,6.464286,6.321429,7.107143,7.0,6.571429,6.107143
2018,machine learning,3343,54,0,1854,0,0,high,18,273,81,43.02,12.2,10.96,13.7,14.0,13.52,6.3846154,6.3461537,7.269231,7.0384617,6.6538463,5.923077
2018,machine learning,3284,48,0,1903,1,0,high,5,150,102,43.93,11.8,10.11,13.1,13.1,12.88,6.071429,5.928571,6.857143,6.642857,6.107143,5.464286
2020,"distributed, parallel and cluster computing",190,20,0,204,0,0,high,5,33,33,37.4,12.2,9.14,14.7,14.3,15.43,6.4117646,6.1911764,7.117647,6.9264708,6.4558825,5.8235292
2017,machine learning,2968,50,0,1767,0,0,high,7,105,84,32.53,14.1,11.34,14.8,15.6,14.39,6.9615383,6.730769,7.6923075,7.5,6.923077,6.3846154
2017,machine learning,3118,55,0,2281,0,0,high,2,109,97,46.27,10.9,9.05,12.9,11.7,12.18,6.7083335,6.5,7.25,7.0833335,6.8333335,6.2083335
2017,machine learning,2970,27,0,1334,1,0,high,26,127,51,55.95,9.3,7.71,11.6,11.0,11.77,6.5104165,6.3645835,7.2291665,7.0520835,6.7083335,6.1041665
2018,machine learning,2968,31,0,257,0,0,high,17,224,44,56.25,9.1,8.07,11.6,10.6,11.13,6.5333333,6.3,7.2,7.0,6.6,6.0
2017,machine learning,2960,90,0,1756,3,0,high,33,245,125,61.97,9.0,9.47,11.8,10.5,10.21,5.96875,5.875,6.84375,6.6875,6.25,5.5625
2018,machine learning,2900,40,0,2604,0,0,high,29,260,58,49.31,9.7,7.85,12.2,10.8,12.52,6.0833335,5.9722223,6.9166665,6.611111,6.3055553,5.7222223
2018,information retrieval,1712,95,0,662,0,0,high,7,126,143,44.85,11.5,9.41,13.1,12.6,12.35,6.847826,6.673913,7.4565215,7.326087,6.8913045,6.326087
2017,machine learning,2837,66,0,2056,0,0,high,1,39,118,56.76,8.9,8.4,11.7,11.0,12.06,6.1764708,6.0588236,6.7941175,6.7058825,6.382353,5.7941175
2017,"distributed, parallel and cluster computing",1107,15,0,10,0,0,high,1,11,22,52.29,10.7,9.76,13.3,11.7,11.08,6.0833335,6.0,6.6666665,6.5833335,6.25,5.75
2018,machine learning,2817,33,0,4495,0,0,high,1,127,37,46.88,10.7,8.26,12.4,12.2,13.34,6.25,5.964286,6.892857,6.785714,6.285714,5.642857
2018,machine learning,2760,17,0,2909,0,5,high,10,95,27,44.75,11.5,10.55,13.5,13.0,12.82,6.357143,6.25,7.071429,6.964286,6.5,5.892857
2018,machine learning,2736,17,0,2716,0,0,high,20,242,32,47.28,10.5,8.57,12.5,11.7,12.82,6.3333335,6.233333,7.0,6.8,6.5,5.9666667
2021,machine learning,2701,22,0,3368,1,0,high,265,769,53,37.6,12.2,8.5,13.6,13.4,14.32,7.0510206,6.8265305,7.5510206,7.4183674,7.071429,6.5
2020,internet of things and embedded systems,362,37,0,933,0,0,high,30,68,78,44.34,11.6,9.31,13.5,12.3,12.36,6.864865,6.689189,7.5,7.324324,7.0405407,6.527027
2019,machine learning,2674,27,0,1371,0,0,high,4,83,33,39.13,11.6,8.67,12.8,13.1,14.2,6.464286,6.178571,7.107143,6.857143,6.571429,5.928571
2017,machine learning,2648,20,0,2197,0,0,high,0,17,29,46.47,10.8,10.06,13.3,12.4,13.34,6.388889,6.111111,7.111111,6.888889,6.388889,5.7777777
2020,machine learning,2639,29,0,1610,0,0,high,51,372,49,23.66,15.4,12.24,16.0,16.8,15.66,7.4375,7.25,8.1875,8.0,7.53125,6.84375
2021,machine learning,2595,22,0,5777,3,20,high,83,550,32,37.6,12.2,9.09,13.7,13.3,14.32,7.076271,6.923729,7.7033896,7.559322,7.0508475,6.559322
2018,machine learning,2529,36,0,2534,0,0,high,4,148,49,45.56,11.2,9.67,13.2,11.8,12.0,6.392857,6.321429,7.178571,6.964286,6.535714,5.928571
2018,machine learning,2492,30,0,2875,3,0,high,17,137,32,43.73,11.9,9.71,14.3,12.8,12.65,6.8541665,6.6458335,7.5833335,7.3229165,6.8229165,6.3020835
2021,machine learning,2396,58,0,585,0,0,high,28,529,118,39.53,11.4,8.34,13.2,12.8,14.43,6.0,5.861111,6.75,6.5277777,6.2222223,5.6944447
2017,machine learning,2395,77,0,2680,1,0,high,37,178,150,46.06,11.0,9.06,13.5,12.8,13.57,6.465909,6.318182,7.215909,6.9545455,6.6022725,6.1363635
2017,machine learning,2675,33,0,2193,0,0,high,4,51,49,39.43,11.5,8.29,13.5,13.0,14.61,6.5,6.3333335,7.125,6.9166665,6.375,5.9583335
2017,machine learning,2328,41,0,3326,1,0,high,1,90,72,51.68,10.9,9.48,13.3,12.3,11.72,7.064815,6.898148,7.638889,7.5925927,7.1759257,6.611111
2017,machine learning,2328,64,0,2528,0,0,high,8,135,161,44.85,11.5,10.33,13.6,13.1,13.11,6.428571,6.428571,7.214286,7.107143,6.642857,5.928571
2017,machine learning,2315,21,0,2303,1,62,high,79,231,32,42.41,12.4,10.72,13.5,13.5,12.71,7.1136365,6.8863635,7.7272725,7.5454545,7.1136365,6.5454545
2020,machine learning,2303,27,0,1638,0,0,high,39,357,54,57.16,8.8,7.8,11.9,10.9,12.17,5.625,5.6,6.4,6.2,5.9,5.425
2018,machine learning,2285,46,0,1714,0,0,high,2,26,85,48.91,9.9,8.44,12.4,11.8,13.39,5.970588,5.9117646,6.7647057,6.5588236,6.2647057,5.647059
2018,machine learning,2160,18,0,2753,0,0,high,21,105,25,30.91,14.7,12.8,15.7,15.8,14.1,7.1944447,6.9444447,7.8055553,7.7222223,7.1666665,6.5277777
2017,machine learning,2173,29,0,1187,18,0,high,5,43,43,52.29,10.7,9.26,12.7,12.5,12.36,6.964286,6.821429,7.607143,7.482143,7.089286,6.607143
2017,machine learning,2172,36,0,748,0,0,high,7,145,54,45.25,11.3,10.03,13.4,12.5,12.58,6.5666666,6.5,7.366667,7.2,6.766667,6.0666666
2020,machine learning,2392,14,0,6224,8,0,high,111,444,14,37.6,12.2,9.51,13.4,13.3,13.92,6.263158,6.105263,7.0263157,6.8157897,6.4473686,5.7894735
2018,machine learning,2170,19,0,1985,2,0,high,0,80,29,42.41,12.4,10.6,14.5,13.9,13.23,6.875,6.65,7.525,7.4,6.925,6.35
2018,internet of things and embedded systems,322,69,0,83,0,0,high,0,30,100,38.05,14.1,12.33,15.0,14.6,11.61,6.736842,6.5,7.4473686,7.3157897,6.7894735,6.0789475
2017,machine learning,2177,76,0,1582,0,0,high,11,109,126,48.5,10.0,8.09,12.9,12.2,13.8,6.4473686,6.3421054,7.105263,6.9473686,6.5789475,6.131579
2019,machine learning,2212,42,0,408,1,0,high,9,247,43,50.46,11.4,10.79,14.1,12.7,10.91,6.195652,6.0434785,6.9130435,6.652174,6.173913,5.652174
